Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Documento,Status,Data de Vencimento,Situação Análise Documento
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,CERTIFICADO DE REGULARIDADE FGTS,Vencido,2026-02-06T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,CIPA - composição / reuniões / atas/ treinamento,A vencer,2026-08-21T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,CND Federal,Vencido,2026-04-22T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,A vencer,2027-01-12T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,CONVENÇÃO COLETIVA DA CATEGORIA,A vencer,2026-08-14T00:00:00Z,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Cartão CNPJ,A vencer,2026-12-23T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-06-21T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Comprovante de Inscrição Sintegra,A vencer,2028-01-12T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,DCTFWEB,Vencido,2026-02-20T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,N/A,,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,FOPAG - (FOLHA DE PAGAMENTO + RESUMO),Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,GFD - GUIA DO FGTS DIGITAL MENSAL,Vencido,2026-02-20T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,N/A,,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,IBAMA - Certidão Negativa de Débitos,Vencido,2026-01-22T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,IBAMA - Certidão Negativa de Embargos,Vencido,2026-01-22T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,IBAMA - Consulta de Regularidade,Vencido,2026-04-15T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,KIT RESCISÃO,N/A,,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Laudo de Periculosidade,A vencer,2027-01-15T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Laudo de insalubridade,A vencer,2027-01-16T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,PCMSO,A vencer,2026-07-25T00:00:00Z,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,PGR,A vencer,2027-07-25T00:00:00Z,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,N/A,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,SESMT - composição de acordo com NR 04,N/A,,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Seguro de Responsabilidade Civil,Vencido,2026-04-26T00:00:00Z,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,Seguro garantia,Vencido,2026-04-26T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,TJSP - CERTIDÃO DE DISTRIBUIÇÃO CÍVEL EM GERAL,A vencer,2026-07-15T00:00:00Z,APROVADO
BROOKS AMBIENTAL LTDA,03938048000133,EM_ELABORACAO,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,Avaliação ergonômica,A vencer,2027-02-04T00:00:00Z,APROVADO
BROOKS AMBIENTAL LTDA,03938048000133,EM_ELABORACAO,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,CERTIDÃO CRIMINAL - TRF3 - Abrangência Regional,A vencer,2026-07-13T00:00:00Z,APROVADO
BROOKS AMBIENTAL LTDA,03938048000133,EM_ELABORACAO,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,CERTIDÃO CÍVEL - TRF3 - Abrangência Regional,A vencer,2026-07-13T00:00:00Z,APROVADO
BROOKS AMBIENTAL LTDA,03938048000133,EM_ELABORACAO,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,A vencer,2026-09-13T00:00:00Z,APROVADO
BROOKS AMBIENTAL LTDA,03938048000133,EM_ELABORACAO,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,2026-06-21T00:00:00Z,APROVADO
